author,book,records
Гөлсирә Ғиззәтуллина,"Гөлсирә_Ғиззәтуллина_Партбилет_Миңзәлә_Хәйруллина_уҡый,_1996",1
Гөлсирә Ғиззәтуллина,Гөлсирә_Ғиззәтуллина_Туғыҙынсы_рәттәге_урын_Салауат_Ишмөхәмәтов,1
Гөлсирә Ғиззәтуллина,Гөлсирә_Ғиззәтуллина_Шул_уҡ_йән_ине_,1
Гөлсирә Ғиззәтуллина,"Гөлсирә_Ғиззәтуллина_Шул_уҡ_йән_ине_Рәмилә_Сәлимгәрәева_уҡый,_1999",1
Гөлсирә Ғиззәтуллина,"Гөлсирә_Ғиззәтуллина_Яратам,_тип_әйтеп_өлгөрмәнем_1_се_тапшырыу",1
Гөлсирә Ғиззәтуллина,"Гөлсирә_Ғиззәтуллина_Яратам,_тип_әйтеп_өлгөрмәнем_2_се_тапшырыу",1
Гөлсирә Ғиззәтуллина,"Гөлсирә_Ғиззәтуллина_Яратам,_тип_әйтеп_өлгөрмәнем_3_сө_тапшырыу",1
Гөлсирә Ғиззәтуллина,"Гөлсирә_Ғиззәтуллина_Яратам,_тип_әйтеп_өлгөрмәнем_4_се_тапшырыу",1
Гөлсирә Ғиззәтуллина,Гөлсирә_Ғиззәтуллина_Һөйөүем_доғаһы_Айсыуаҡ_Йомағолов_менән_Земфира,1
"Гөлсирә Ғиззәтуллина ,,Партбилет,,.","Гөлсирә_Ғиззәтуллина_,,Партбилет,,_Миңзәлә_Хәйруллина_уҡый",1
Гөлсирә Ғиззәтуллина-Ғайсарова,"Гөлсирә_Ғиззәтуллина_Ғайсарова_Ымһыныу_хикәйә_Автор_уҡый,_2015",1
Гөлсөм Мостафина,Гөлсөм_Мостафина_Елмерҙәк_тотҡоно,1
Гөлфиә Юнысова,"Гөлфиә_Юнысова_Тыуған_ер_Автор_уҡый,_1999",1
Денис Бүләков,"Денис_Бүләков_Яралы_китап_Әхәт_Мортазин_уҡый,_1989",1
Дилә Булгакова,"Дилә_Булгакова_Майпәрүәз_Илсөйәр_Ғәзетдинова_уҡый,_2006",1
Динис Бүләков,"Динис_Бүләков_Асыҡ_ишек_Әхәт_Мортазин_уҡый,_2003",1
Динис Бүләков,"Динис_Бүләков_Ат_күҙендәге_ҡояш_Әхәт_Мортазин_уҡый,_2003",1
Динис Бүләков,"Динис_Бүләков_Бер_алманы_бишкә_бүләйек_Әхәт_Мортазин_уҡый,_20",1
Динис Бүләков,Динис_Бүләков_Иң_оҙон_төн_Радиоспектакль_1_се_тапшырыу,1
