author,title,book_url,authors_names_on_site,language
Фәрзәнә Аҡбулатова,Башҡорт халыҡ уйындары,https://kitaptar.bashkort.org/book/659,Аҡбулатова Фәрзәнә,Башкирский
Шамил Хажиәхмәтов,Французик,https://kitaptar.bashkort.org/book/522,Хажиәхмәтов Шамил,Башкирский
Шәүлиә Зөлҡәрнәева,Һөйләшә белгән кәнфит; әкиәттәр,https://kitaptar.bashkort.org/book/886,Зөлҡәрнәева Шәүлиә,Башкирский
Яныбай Хамматов,Аҡман-тоҡман,https://kitaptar.bashkort.org/book/350,Хамматов Яныбай,Башкирский
Яныбай Хамматов,Башкирские востания XVII - начала XVIII вв. Уфа. 1993,https://kitaptar.bashkort.org/book/1539,Яныбай Хамматов,Русский
Яныбай Хамматов,Башҡорттар китте һуғышҡа...,https://kitaptar.bashkort.org/book/351,Хамматов Яныбай,Башкирский
Яныбай Хамматов,Бөртөкләп йыйыла алтын,https://kitaptar.bashkort.org/book/1073,Яныбай Хамматов,Башкирский
Яныбай Хамматов,Йәшенле йәй,https://kitaptar.bashkort.org/book/352,Хамматов Яныбай,Башкирский
Яныбай Хамматов,Русско-башкирский словарь терминов по изобразительному искусству,https://kitaptar.bashkort.org/book/1543,Хамматов Яныбай,Башкирский
Яныбай Хамматов,Тормош һабаҡтары,https://kitaptar.bashkort.org/book/348,Яныбай Хамматов,Башкирский
Яныбай Хамматов,Юрғашты,https://kitaptar.bashkort.org/book/349,Яныбай Хамматов,Башкирский
Яныбай Хамматов,Ҡара яу,https://kitaptar.bashkort.org/book/353,Хамматов Яныбай,Башкирский
Ғабдулла Әхмәтшин,ТАТЫШЛИНСКИЙ РАЙОН,https://kitaptar.bashkort.org/book/880,Әхмәтшин Ғабдулла,Русский
Ғаян Лоҡманов,һайланма әҫәрҙәр. 1 том. Роман. Хикәйәләр,https://kitaptar.bashkort.org/book/438,Лоҡманов Ғаян ,Башкирский
Ғәлим Хисамов,Башҡортостандың аҫыл заттары Сәғит Исмәғилев,https://kitaptar.bashkort.org/book/146,Хисамов Ғәлим,Башкирский
Ғәлим Хисамов,Сысҡансыҡ менән сысҡансуҡ мажаралары,https://kitaptar.bashkort.org/book/896,Хисамов Ғәлим,Башкирский
Ғәлим Хисамов,ЭПОС «УРАЛ  БАТЫР»  И МИФОЛОГИЯ  БАШКИР,https://kitaptar.bashkort.org/book/1272,Ғәлим Хисамов,Русский
Ҡол Ғәли,Йософ,https://kitaptar.bashkort.org/book/580,Ҡол Ғәли,Башкирский
Ҡол Ғәли,к,https://kitaptar.bashkort.org/book/579,Ҡол Ғәли,Башкирский
Ҡол Ғәли,Ҡи ссаЙософ,https://kitaptar.bashkort.org/book/581,Ҡол Ғәли,Башкирский
Ҡол Ғәли,Ҡисса Йософ,https://kitaptar.bashkort.org/book/582,Ҡол Ғәли,Башкирский
Ҡол Ғәли,Ҡиссаи Йософ,https://kitaptar.bashkort.org/book/435,Ҡол Ғәли,Башкирский
Һәҙиә Дәүләтшина,,https://kitaptar.bashkort.org/book/1118,Дәүләтшина Һәҙиә,
Һәҙиә Дәүләтшина,Айбикә,https://kitaptar.bashkort.org/book/530,Дәүләтшина Һәҙиә ,Башкирский
Һәҙиә Дәүләтшина,АЙБИКӘ - Дәүләтшина Һәҙиә Лотфулла ҡыҙы,https://kitaptar.bashkort.org/book/5322,"Һәҙиә Дәүләтшина (Hadiya Davletshina, Давлетшина, Хадия Лутфулловна)",Башкирский
Һәҙиә Дәүләтшина,Ырғыҙ,https://kitaptar.bashkort.org/book/176,Дәүләтшина Һәҙиә,Башкирский
Әмир Әминев,"Башҡорт халыҡ ижады. Бәйеттәр, йырҙар, таҡмаҡтар",https://kitaptar.bashkort.org/book/648,Әмир Әминев,Башкирский
Әмир Әминев,Йәшлек моңдары,https://kitaptar.bashkort.org/book/304,Әмир Әминев ,Башкирский
Әмир Әминев,Проводникъ по отдаленнѣйшимъ окраинамъ Россіи,https://kitaptar.bashkort.org/book/1448,Әмир Әминев ,Русский
Әнисә Таһирова,Введение в Урало-Алтайское языкознание. Уфа. 1972,https://kitaptar.bashkort.org/book/1533,Әнисә Таһирова,Русский
Әхиәр Хәкимов,Арғаяш фажиғәһе,https://kitaptar.bashkort.org/book/861,Әхиәр Хәкимов,Башкирский
Әхиәр Хәкимов,Думбыра сыңы,https://kitaptar.bashkort.org/book/128,Әхиәр Хәкимов,Башкирский
Әхиәр Хәкимов,Эй ғүмер юлдары,https://kitaptar.bashkort.org/book/900,Әхиәр Хәкимов,Башкирский
Әхмәр Үтәбай,Предварительные итоги Всероссийской переписи населения 2010 года,https://kitaptar.bashkort.org/book/672,Ғүмәр-Үтәбай Әхмәр,Русский
Әхмәт Әһлиуллин,ЭСТӘРЛЕ,https://kitaptar.bashkort.org/book/316,Әхмәт Әһлиуллин,Башкирский
Әхмәт Әһлиуллин,ЭСТӘРЛЕ,https://kitaptar.bashkort.org/book/623,Әхмәт Әһлиуллин,Башкирский
Әхмәт Әһлиуллин,Әкиәттәр,https://kitaptar.bashkort.org/book/1460,Әхмәт Әһлиуллин,
